Local_alignment_Tm	Gap_adjusted_end_filling_Tm
61.84	29.52
62.71	33.24
62.71	35.17
62.71	14.96
62.71	12.09
62.71	14.96
62.71	33.24
62.71	6.83
62.71	14.96
62.71	14.96
62.71	14.96
62.71	6.83
62.71	35.17
62.71	33.24
62.71	6.83
62.71	33.24
62.71	14.96
61.61	-2.67
61.61	1.43
60.63	-11.52
47.97	-61.56
60.6	19.93
51.75	15.02
56	22.76
60.6	14.24
51.75	19.14
56	17.68
52.81	-17.4
48.66	-3.96
56.71	-18.11
55.65	43.67
46.04	-15.32
50.32	33.49
50.32	33.49
55.85	12.33
48.21	-70.13
53.98	27.21
49.69	-9.16
52.28	-41.36
55.97	-2.72
51.49	26.32
57.77	-134.1
60.7	5.5
62.81	-33.96
57.77	-100.74
62.94	45.94
61.79	51.6
58.03	42.91
61.79	51.6
58.81	-21.57
56.96	29.62
57.52	-19.06
56.01	31.64
56.01	31.64
56.88	37.07
55.54	-19.05
57.52	-29.89
50.83	4.38
50.83	4.59
44.97	-71.81
50.87	7.56
54.04	-61.17
52.42	11.02
56.21	34.71
56.21	34.71
54.52	22.37
54.52	27.24
56.21	35.02
56.21	34.71
54.52	27.24
54.85	21.86
54.85	21.86
54.52	27.24
55.47	-53.7
54.85	21.86
54.85	21.86
54.52	27.24
54.85	26.69
54.85	21.86
54.85	21.86
54.85	26.69
56.21	35.02
55.24	26.64
59.54	-36.15
